mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_selection__k,param_imputer,param_model__C,param_model__class_weight,param_model__max_iter,param_scaler,params,split0_test_custom_score,split1_test_custom_score,split2_test_custom_score,mean_test_custom_score,std_test_custom_score,rank_test_custom_score,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_precision_scorer,split1_test_precision_scorer,split2_test_precision_scorer,mean_test_precision_scorer,std_test_precision_scorer,rank_test_precision_scorer,split0_test_recall_scorer,split1_test_recall_scorer,split2_test_recall_scorer,mean_test_recall_scorer,std_test_recall_scorer,rank_test_recall_scorer,split0_test_f1_scorer,split1_test_f1_scorer,split2_test_f1_scorer,mean_test_f1_scorer,std_test_f1_scorer,rank_test_f1_scorer,split0_test_f_beta,split1_test_f_beta,split2_test_f_beta,mean_test_f_beta,std_test_f_beta,rank_test_f_beta
5.983971834182739,0.03815604164732188,0.8509460290273031,0.018988286606482375,40,SimpleImputer(strategy='median'),0.1,"{0: 0.1, 1: 0.9}",100,StandardScaler(),"{'feature_selection__k': 40, 'imputer': SimpleImputer(strategy='median'), 'model__C': 0.1, 'model__class_weight': {0: 0.1, 1: 0.9}, 'model__max_iter': 100, 'scaler': StandardScaler()}",28.71532161570235,28.536943850518742,30.59109221852222,29.28111922824777,0.9291489235547448,16,0.7055142083571764,0.7058343541828164,0.716266969033964,0.7092051771913189,0.004995151072727456,16,0.1630393461319141,0.16146883646766402,0.1670012605630515,0.1638364810542099,0.002327874159838203,16,0.5182779456193354,0.5200906344410876,0.5403323262839879,0.526233635448137,0.009996708546810337,16,0.248048004626952,0.24643023297426905,0.2551446199935804,0.2498742858649338,0.0037847600232809846,16,0.3609755071121959,0.3601238415998996,0.37338984112403184,0.36482972994537577,0.00606289045914698,16
6.089650948842366,0.07770131885152093,0.8330894311269125,0.0018876168954597126,40,SimpleImputer(strategy='median'),0.1,"{0: 0.1, 1: 0.9}",500,StandardScaler(),"{'feature_selection__k': 40, 'imputer': SimpleImputer(strategy='median'), 'model__C': 0.1, 'model__class_weight': {0: 0.1, 1: 0.9}, 'model__max_iter': 500, 'scaler': StandardScaler()}",28.71532161570235,28.536943850518742,30.59109221852222,29.28111922824777,0.9291489235547448,16,0.7055142083571764,0.7058343541828164,0.716266969033964,0.7092051771913189,0.004995151072727456,16,0.1630393461319141,0.16146883646766402,0.1670012605630515,0.1638364810542099,0.002327874159838203,16,0.5182779456193354,0.5200906344410876,0.5403323262839879,0.526233635448137,0.009996708546810337,16,0.248048004626952,0.24643023297426905,0.2551446199935804,0.2498742858649338,0.0037847600232809846,16,0.3609755071121959,0.3601238415998996,0.37338984112403184,0.36482972994537577,0.00606289045914698,16
6.016789038976033,0.033309981389766846,0.8310877482096354,0.035059016135045536,40,SimpleImputer(strategy='median'),0.1,"{0: 0.1, 1: 0.9}",1000,StandardScaler(),"{'feature_selection__k': 40, 'imputer': SimpleImputer(strategy='median'), 'model__C': 0.1, 'model__class_weight': {0: 0.1, 1: 0.9}, 'model__max_iter': 1000, 'scaler': StandardScaler()}",28.71532161570235,28.536943850518742,30.59109221852222,29.28111922824777,0.9291489235547448,16,0.7055142083571764,0.7058343541828164,0.716266969033964,0.7092051771913189,0.004995151072727456,16,0.1630393461319141,0.16146883646766402,0.1670012605630515,0.1638364810542099,0.002327874159838203,16,0.5182779456193354,0.5200906344410876,0.5403323262839879,0.526233635448137,0.009996708546810337,16,0.248048004626952,0.24643023297426905,0.2551446199935804,0.2498742858649338,0.0037847600232809846,16,0.3609755071121959,0.3601238415998996,0.37338984112403184,0.36482972994537577,0.00606289045914698,16
6.328262249628703,0.046636560842625865,0.8486336867014567,0.03364060794303844,40,SimpleImputer(strategy='median'),0.5,"{0: 0.1, 1: 0.9}",100,StandardScaler(),"{'feature_selection__k': 40, 'imputer': SimpleImputer(strategy='median'), 'model__C': 0.5, 'model__class_weight': {0: 0.1, 1: 0.9}, 'model__max_iter': 100, 'scaler': StandardScaler()}",28.74141641169145,28.518182725931258,30.660491773311332,29.306696970311346,0.9616058083874933,13,0.7055186910640274,0.7059565775797648,0.7164252445512346,0.709300171065009,0.005041358301638742,15,0.1630501875504487,0.1613628907531518,0.1671644577188725,0.16385917867415767,0.002436581593560312,13,0.5187311178247734,0.5200906344410876,0.5410876132930513,0.5266364551863042,0.010233573808048443,13,0.24811242368411546,0.24630682834352757,0.25541928123217345,0.2499461777532722,0.003939643799597386,13,0.3611619444269157,0.36001840349666436,0.3738415295983969,0.3650072925073256,0.006264169548617185,13
6.291903018951416,0.03797999015675035,0.8446033000946045,0.009012210501557164,40,SimpleImputer(strategy='median'),0.5,"{0: 0.1, 1: 0.9}",500,StandardScaler(),"{'feature_selection__k': 40, 'imputer': SimpleImputer(strategy='median'), 'model__C': 0.5, 'model__class_weight': {0: 0.1, 1: 0.9}, 'model__max_iter': 500, 'scaler': StandardScaler()}",28.74141641169145,28.518182725931258,30.660491773311332,29.306696970311346,0.9616058083874933,13,0.7055186910640274,0.7059571707318559,0.7164252445512346,0.7093003687823726,0.005041227175074317,13,0.1630501875504487,0.1613628907531518,0.1671644577188725,0.16385917867415767,0.002436581593560312,13,0.5187311178247734,0.5200906344410876,0.5410876132930513,0.5266364551863042,0.010233573808048443,13,0.24811242368411546,0.24630682834352757,0.25541928123217345,0.2499461777532722,0.003939643799597386,13,0.3611619444269157,0.36001840349666436,0.3738415295983969,0.3650072925073256,0.006264169548617185,13
6.292986154556274,0.05824309747493731,0.8251247406005859,0.008227879054632636,40,SimpleImputer(strategy='median'),0.5,"{0: 0.1, 1: 0.9}",1000,StandardScaler(),"{'feature_selection__k': 40, 'imputer': SimpleImputer(strategy='median'), 'model__C': 0.5, 'model__class_weight': {0: 0.1, 1: 0.9}, 'model__max_iter': 1000, 'scaler': StandardScaler()}",28.74141641169145,28.518182725931258,30.660491773311332,29.306696970311346,0.9616058083874933,13,0.7055186910640274,0.7059571707318559,0.7164252445512346,0.7093003687823726,0.005041227175074317,13,0.1630501875504487,0.1613628907531518,0.1671644577188725,0.16385917867415767,0.002436581593560312,13,0.5187311178247734,0.5200906344410876,0.5410876132930513,0.5266364551863042,0.010233573808048443,13,0.24811242368411546,0.24630682834352757,0.25541928123217345,0.2499461777532722,0.003939643799597386,13,0.3611619444269157,0.36001840349666436,0.3738415295983969,0.3650072925073256,0.006264169548617185,13
6.354715665181478,0.038765913908217375,0.8569879531860352,0.019272428189982347,40,SimpleImputer(strategy='median'),1,"{0: 0.1, 1: 0.9}",100,StandardScaler(),"{'feature_selection__k': 40, 'imputer': SimpleImputer(strategy='median'), 'model__C': 1, 'model__class_weight': {0: 0.1, 1: 0.9}, 'model__max_iter': 100, 'scaler': StandardScaler()}",28.77802076038089,28.524883127569634,30.72051065050689,29.341138179485807,0.9808231154305824,10,0.7055145329877127,0.7060023885593465,0.7164875383705359,0.7093348199725318,0.005061655600397589,10,0.1631683920600247,0.16140071254453403,0.16727289684760305,0.16394733381738727,0.0024597696122909346,10,0.5190332326283988,0.5200906344410876,0.5418429003021148,0.5269889224572004,0.01051221568814982,10,0.24828383553724984,0.24635088723526044,0.2556299885974914,0.2500882371233339,0.003997276517458374,10,0.3613950944507552,0.3600560528737555,0.3742383774309323,0.36522984158514765,0.0063934104957017205,10
6.160554091135661,0.011727157656796012,0.8181657791137695,0.005806794767886553,40,SimpleImputer(strategy='median'),1,"{0: 0.1, 1: 0.9}",500,StandardScaler(),"{'feature_selection__k': 40, 'imputer': SimpleImputer(strategy='median'), 'model__C': 1, 'model__class_weight': {0: 0.1, 1: 0.9}, 'model__max_iter': 500, 'scaler': StandardScaler()}",28.77802076038089,28.524883127569634,30.72051065050689,29.341138179485807,0.9808231154305824,10,0.7055145329877127,0.7060023885593465,0.7164875383705359,0.7093348199725318,0.005061655600397589,10,0.1631683920600247,0.16140071254453403,0.16727289684760305,0.16394733381738727,0.0024597696122909346,10,0.5190332326283988,0.5200906344410876,0.5418429003021148,0.5269889224572004,0.01051221568814982,10,0.24828383553724984,0.24635088723526044,0.2556299885974914,0.2500882371233339,0.003997276517458374,10,0.3613950944507552,0.3600560528737555,0.3742383774309323,0.36522984158514765,0.0063934104957017205,10
6.176469643910726,0.07828407695302177,0.8327592213948568,0.024554844257847225,40,SimpleImputer(strategy='median'),1,"{0: 0.1, 1: 0.9}",1000,StandardScaler(),"{'feature_selection__k': 40, 'imputer': SimpleImputer(strategy='median'), 'model__C': 1, 'model__class_weight': {0: 0.1, 1: 0.9}, 'model__max_iter': 1000, 'scaler': StandardScaler()}",28.77802076038089,28.524883127569634,30.72051065050689,29.341138179485807,0.9808231154305824,10,0.7055145329877127,0.7060023885593465,0.7164875383705359,0.7093348199725318,0.005061655600397589,10,0.1631683920600247,0.16140071254453403,0.16727289684760305,0.16394733381738727,0.0024597696122909346,10,0.5190332326283988,0.5200906344410876,0.5418429003021148,0.5269889224572004,0.01051221568814982,10,0.24828383553724984,0.24635088723526044,0.2556299885974914,0.2500882371233339,0.003997276517458374,10,0.3613950944507552,0.3600560528737555,0.3742383774309323,0.36522984158514765,0.0063934104957017205,10
6.846726497014363,0.13773663769146735,0.9100068410237631,0.021134561370325888,60,SimpleImputer(strategy='median'),0.1,"{0: 0.1, 1: 0.9}",100,StandardScaler(),"{'feature_selection__k': 60, 'imputer': SimpleImputer(strategy='median'), 'model__C': 0.1, 'model__class_weight': {0: 0.1, 1: 0.9}, 'model__max_iter': 100, 'scaler': StandardScaler()}",29.83157039872734,30.65780210201195,31.731538182253576,30.74030356099762,0.7778492838849409,1,0.7141585945213106,0.7162727308505857,0.7251680035410046,0.7185331096376336,0.004770307882197425,9,0.1659332860184528,0.16753386771668308,0.17026938699285682,0.16791218024266427,0.0017903041064844332,1,0.5297583081570997,0.5398791540785498,0.5509063444108762,0.5401812688821752,0.00863629219683572,5,0.25271122320302647,0.25571495009480194,0.2601376653946289,0.2561879462308191,0.003050224572586808,1,0.3682663026357241,0.37374772551398155,0.38069688302469784,0.37423697039146786,0.005086541235738008,1
